Species,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
horridus,-105.077,19.555,261,131,73,1657,337,158,179,277,252,279,238,809,217,1,109,557,12,415,29
horridus,-105.07,21.73,248,123,65,2454,331,143,188,274,239,275,215,1522,453,1,131,1221,11,933,36
horridus,-105.05918,21.53944,214,134,66,2256,305,104,201,238,193,239,184,1331,346,2,118,970,14,845,44
horridus,-105.02,21.63,237,123,65,2227,322,134,188,259,231,261,207,1468,397,3,121,1110,18,892,45
horridus,-105.018,19.394,264,124,72,1661,335,165,170,281,244,282,241,755,209,0,111,521,12,381,29
horridus,-105.016,21.516,203,138,66,2234,299,91,208,227,184,228,173,1261,327,3,115,896,15,810,69
horridus,-104.985,21.52,204,139,66,2261,300,91,209,227,185,229,173,1252,329,3,115,889,15,809,69
horridus,-104.983,19.417,260,127,72,1597,333,159,174,275,250,277,237,851,232,1,112,595,12,442,31
horridus,-104.97,21.64,234,126,65,2211,322,129,193,256,228,258,204,1395,366,3,119,1042,18,859,71
horridus,-104.97,21.22,223,139,67,2195,317,110,207,245,217,246,193,1155,295,4,115,823,17,738,37
horridus,-104.966,21.466,170,135,64,2178,271,61,210,190,155,193,140,1189,296,3,108,817,24,465,89
horridus,-104.966,21.166,230,139,67,2205,324,117,207,252,224,253,200,1101,280,4,116,784,16,694,37
horridus,-104.958,21.55,218,138,66,2270,312,106,206,241,212,243,187,1286,352,2,117,931,15,831,72
horridus,-104.95,21.21,215,143,66,2179,314,100,214,237,211,238,185,1094,284,4,115,768,17,717,55
horridus,-104.94,21.22,215,143,66,2179,314,100,214,237,211,238,185,1094,284,4,115,768,17,717,55
horridus,-104.94,19.42,260,128,73,1591,334,159,175,276,251,278,238,869,236,1,111,608,12,454,32
horridus,-104.93031,21.737451,249,127,65,2363,336,142,194,273,242,275,217,1425,429,1,132,1148,10,904,34
horridus,-104.92,21.32,221,141,67,2206,317,107,210,243,215,244,191,1228,322,3,117,883,15,799,37
horridus,-104.92,21.31,221,141,67,2206,317,107,210,243,215,244,191,1228,322,3,117,883,15,799,37
horridus,-104.916664,21.283333,222,143,67,2182,320,108,212,244,217,245,193,1158,306,4,117,824,17,761,37
horridus,-104.91,21.27,222,143,67,2182,320,108,212,244,217,245,193,1158,306,4,117,824,17,761,37
horridus,-104.900567,20.577464,206,154,66,2177,314,83,231,226,190,228,175,1128,266,7,105,730,27,701,62
horridus,-104.9,21.516,212,142,66,2307,310,97,213,236,192,237,181,1262,355,2,118,907,12,843,63
horridus,-104.9,21.45,212,143,66,2253,311,96,215,235,192,236,181,1254,328,3,118,886,10,842,53
horridus,-104.89519,21.517029,212,142,66,2307,310,97,213,236,192,237,181,1262,355,2,118,907,12,843,63
horridus,-104.89389,21.690727,246,128,65,2278,335,140,195,268,241,271,215,1381,395,2,126,1076,14,870,56
horridus,-104.883,21.166,221,146,67,2188,322,105,217,243,217,244,192,982,252,4,115,684,16,645,51
horridus,-104.86667,21.466667,215,144,66,2280,314,99,215,238,195,240,184,1253,351,2,119,900,12,844,60
horridus,-104.86,21.58,220,141,66,2267,318,107,211,243,216,245,190,1231,345,2,117,884,15,806,73
horridus,-104.86,21.46,215,144,66,2280,314,99,215,238,195,240,184,1253,351,2,119,900,12,844,60
horridus,-104.77,21.42,202,147,65,2275,308,84,224,224,185,226,170,1114,294,3,115,776,17,739,66
horridus,-104.76,21.41,212,148,66,2279,317,93,224,234,194,236,181,1139,304,3,117,798,14,770,59
horridus,-104.738304,21.3875,209,149,65,2257,316,89,227,230,192,233,177,1096,293,3,116,764,17,738,62
horridus,-104.733,21.1,226,154,66,2307,335,103,232,248,224,250,194,875,227,3,115,602,14,589,52
horridus,-104.73019,21.380331,209,149,65,2257,316,89,227,230,192,233,177,1096,293,3,116,764,17,738,62
horridus,-104.73,21.38,209,149,65,2257,316,89,227,230,192,233,177,1096,293,3,116,764,17,738,62
horridus,-104.722107,21.588735,219,146,65,2324,324,101,223,242,218,244,187,1067,315,1,116,747,16,706,81
horridus,-104.71275,21.500992,198,147,65,2290,306,80,226,219,183,223,166,1084,287,3,113,754,20,707,74
horridus,-104.683,21.283,189,148,64,2182,301,72,229,208,176,213,159,1045,272,4,112,715,23,450,63
horridus,-104.67,21.32,202,150,64,2253,313,82,231,222,186,225,170,1040,274,4,114,716,21,696,61
horridus,-104.66,21.31,208,153,65,2283,320,85,235,228,192,231,176,1019,273,4,116,705,20,451,58
horridus,-104.65,21.3,208,153,65,2283,320,85,235,228,192,231,176,1019,273,4,116,705,20,451,58
horridus,-104.65,21.28,199,151,64,2239,312,78,234,219,185,222,167,1011,267,4,113,694,21,444,59
horridus,-104.64327,21.215935,209,154,65,2283,322,86,236,229,193,232,177,988,263,4,114,678,20,440,56
horridus,-104.616,21.2,214,156,65,2327,329,89,240,235,198,238,181,961,260,4,115,660,20,435,53
horridus,-104.61,21.34,216,154,64,2334,329,92,237,237,200,240,183,1034,288,3,117,722,19,711,60
horridus,-104.59,21.33,209,154,64,2324,323,85,238,230,193,233,176,999,270,4,115,690,21,446,58
horridus,-104.57,21.37,227,155,64,2339,341,102,239,247,228,251,194,1121,322,4,118,789,21,514,60
horridus,-104.57,21.36,227,155,64,2339,341,102,239,247,228,251,194,1121,322,4,118,789,21,514,60
horridus,-104.52,21.06,224,162,64,2461,343,92,251,249,207,249,189,875,240,5,115,598,20,408,46
horridus,-104.49,20.94,236,166,64,2496,359,102,257,261,221,262,200,868,234,5,113,585,20,407,39
horridus,-104.49,20.92,236,166,64,2496,359,102,257,261,221,262,200,868,234,5,113,585,20,407,39
horridus,-104.45,21.23333,218,160,64,2408,339,89,250,242,204,244,184,946,268,4,117,658,22,442,52
horridus,-104.45,20.88,218,163,64,2412,340,87,253,241,204,243,183,834,221,5,111,559,22,389,44
horridus,-104.43,20.85,238,168,64,2484,363,102,261,261,224,264,201,839,219,5,111,558,20,390,37
horridus,-104.41,19.11,264,113,71,1582,332,174,158,281,245,282,244,973,278,2,112,663,11,491,33
horridus,-104.39,21.04,227,166,64,2600,351,92,259,253,211,254,190,854,238,5,114,593,21,410,42
horridus,-104.38,19.7,209,141,67,1532,310,101,209,218,199,227,187,1207,286,4,106,795,22,488,62
horridus,-104.37,19.77,232,148,67,1772,339,119,220,243,222,251,206,828,183,5,98,511,20,331,54
horridus,-104.34,21.04,220,164,63,2533,345,87,258,245,206,247,183,831,230,5,114,578,22,398,42
horridus,-104.34,19.72,230,147,67,1736,336,118,218,240,220,249,205,895,202,4,101,565,19,360,54
horridus,-104.33,19.9,206,145,67,1590,312,96,216,214,196,224,183,978,226,6,100,608,24,412,56
horridus,-104.3,19.7,222,144,67,1614,326,112,214,231,212,240,199,987,230,4,103,635,21,405,55
horridus,-104.265,20.87778,188,156,64,2114,309,68,241,207,179,211,157,790,204,4,109,522,24,362,46
horridus,-104.15012,20.080357,202,148,66,1784,314,90,224,218,193,223,177,849,196,4,96,508,24,382,53
horridus,-104.1,22.641,213,157,60,3293,335,77,258,240,223,249,166,491,124,3,103,317,15,198,51
horridus,-104.080124,20.110357,221,154,63,2192,342,100,242,239,213,245,189,730,157,8,92,432,27,190,49
horridus,-104.00013,20.250355,180,147,63,2102,297,67,230,199,173,204,150,971,226,7,98,594,29,448,57
horridus,-104,20.933,199,162,64,2200,326,73,253,218,192,224,167,893,245,4,116,629,18,433,35
horridus,-103.97012,20.230354,217,156,62,2280,339,91,248,236,208,241,183,803,174,8,95,486,26,382,51
horridus,-103.967,20.9,204,164,64,2203,331,77,254,223,196,228,172,898,247,4,117,636,18,446,35
horridus,-103.933,20.933,184,158,64,2183,309,63,246,203,177,209,153,920,256,5,115,637,19,443,36
horridus,-103.833336,19.233334,254,140,70,1542,346,148,198,265,241,271,232,923,225,2,111,642,12,333,47
horridus,-103.813,19.577,219,146,67,1644,324,108,216,229,210,237,195,759,178,3,102,485,15,316,39
horridus,-103.8,20.883,230,171,64,2424,360,93,267,250,223,256,194,971,257,5,116,672,22,212,34
horridus,-103.784,21.811,229,179,62,2932,372,85,287,246,222,263,188,660,182,6,112,449,21,302,34
horridus,-103.77,18.78,261,129,70,1789,339,157,182,280,239,281,236,850,235,2,110,558,9,450,24
horridus,-103.76,22.684,159,158,61,3178,282,25,257,193,144,195,115,583,144,2,99,367,13,252,67
horridus,-103.75,19.27,249,141,70,1440,345,145,200,258,240,266,229,998,244,2,112,707,11,377,45
horridus,-103.75,19.1667,256,140,71,1474,348,152,196,267,245,274,236,861,201,3,109,590,11,327,44
horridus,-103.72,19.21,254,141,71,1453,347,150,197,264,243,271,234,929,217,3,110,644,13,351,48
horridus,-103.7167,19.1833,256,140,71,1474,348,152,196,267,245,274,236,861,201,3,109,590,11,327,44
horridus,-103.7167,19.1167,260,137,71,1532,347,155,192,272,246,277,239,819,185,2,106,551,9,311,29
horridus,-103.666,20.416,204,159,64,2193,326,78,248,224,194,228,172,779,195,4,110,525,16,403,33
horridus,-103.63,20.21,181,151,62,2167,301,61,240,201,174,206,150,823,190,8,98,500,25,387,44
horridus,-103.62,20.42,199,159,64,2211,322,74,248,219,189,224,167,800,203,5,109,535,17,403,33
horridus,-103.62,19.99,202,152,64,1984,317,80,237,219,195,224,173,699,156,6,95,416,21,342,39
horridus,-103.59,19.32,237,139,70,1330,332,134,198,244,230,251,217,1152,267,2,112,792,10,455,39
horridus,-103.566,20.733,186,160,62,2347,314,60,254,207,179,213,153,976,272,5,114,671,22,479,35
horridus,-103.55,20.73,186,160,62,2347,314,60,254,207,179,213,153,976,272,5,114,671,22,479,35
horridus,-103.52,19.57,171,144,65,1816,277,57,220,184,162,191,145,852,185,5,95,514,16,362,44
horridus,-103.483,20.466,192,156,62,2326,316,68,248,213,184,218,158,841,221,5,109,562,19,415,32
horridus,-103.466,19.607,192,149,65,1850,300,73,227,205,183,212,165,682,159,2,103,437,8,292,39
horridus,-103.346,20.676,196,162,62,2457,326,68,258,217,191,224,161,946,250,5,111,640,22,210,39
horridus,-103.34,21.81,171,166,62,2826,299,34,265,190,160,204,131,636,167,3,105,418,15,280,46
horridus,-103.333,20.766,212,170,63,2436,343,77,266,232,206,239,177,926,236,5,113,643,20,217,33
horridus,-103.31,20.78,212,170,63,2436,343,77,266,232,206,239,177,926,236,5,113,643,20,217,33
horridus,-103.24,20.064,170,153,63,2350,286,44,242,192,161,196,136,846,192,8,99,525,24,390,41
horridus,-103.19,20.29,198,139,62,2138,306,84,222,214,195,222,166,836,213,5,110,553,18,201,33
horridus,-103.18,21.17,215,183,64,2692,354,69,285,239,207,245,177,791,225,3,118,564,12,396,29
horridus,-103.18,20.28,198,139,62,2138,306,84,222,214,195,222,166,836,213,5,110,553,18,201,33
horridus,-103.17014,21.240347,220,186,64,2726,360,72,288,244,212,251,181,768,224,2,118,553,9,390,27
horridus,-103.16,21.25,212,185,64,2713,352,65,287,236,203,242,173,774,219,3,117,549,12,384,30
horridus,-103.15,21.3,219,188,64,2793,360,69,291,244,210,250,179,739,212,3,118,525,11,368,28
horridus,-103.02,19.36,248,145,65,1687,358,137,221,254,245,269,224,1062,231,4,104,662,18,230,38
horridus,-102.98,21.63,212,194,64,3097,357,56,301,242,201,247,168,630,190,3,113,434,15,317,35
horridus,-102.94,21.864,205,193,64,3244,350,49,301,230,193,242,160,571,145,4,106,374,14,255,31
horridus,-102.93,21.66,201,190,63,3066,344,47,297,231,190,236,158,655,179,4,109,435,15,309,34
horridus,-102.93,18.18,262,123,73,1331,334,166,168,275,248,276,243,1084,297,1,113,757,4,596,31
horridus,-102.92,20.59,182,170,64,2628,308,44,264,207,171,211,144,815,211,5,108,536,21,384,37
horridus,-102.85,22.46,172,178,64,2938,302,28,274,195,159,205,130,517,120,5,90,313,19,211,56
horridus,-102.85,21.867,165,167,63,2669,291,30,261,191,155,196,128,673,181,4,103,437,19,310,49
horridus,-102.83,21.675,182,179,64,2812,316,38,278,202,173,214,143,683,173,4,104,435,17,303,40
horridus,-102.8,21.767,202,193,64,3157,346,46,300,233,190,238,158,631,167,3,111,423,12,289,30
horridus,-102.78445,21.751667,195,189,64,3042,336,43,293,217,184,230,152,650,159,4,104,422,16,281,33
horridus,-102.783,21.767,195,189,64,3042,336,43,293,217,184,230,152,650,159,4,104,422,16,281,33
horridus,-102.767,21.833,201,193,64,3135,344,45,299,224,189,236,157,628,159,3,108,416,13,279,30
horridus,-102.762,20.326,202,151,63,2398,314,76,238,221,197,227,167,877,239,5,110,590,26,215,37
horridus,-102.749,20.29,200,151,63,2399,313,74,239,219,196,225,165,807,217,3,111,548,18,201,33
horridus,-102.717,21.85,199,192,64,3120,342,45,297,222,188,235,156,611,146,4,105,396,16,262,32
horridus,-102.717,21.783,183,179,64,2835,316,38,278,202,173,215,143,674,171,4,102,427,18,300,40
horridus,-102.717,19.983,183,153,63,2221,298,58,240,201,179,208,151,824,194,8,98,509,25,214,43
horridus,-102.36,18.41,227,144,71,1323,322,120,202,236,218,241,207,1009,244,3,105,648,11,385,34
horridus,-102.35,19.09,283,151,64,1859,401,167,234,285,286,308,258,699,161,2,110,463,8,147,19
horridus,-102.13333,18.833334,289,149,66,1720,400,176,224,293,287,311,265,683,151,4,106,441,12,138,30
horridus,-102.1,17.987,273,122,74,1166,345,181,164,284,259,285,257,1063,277,1,108,664,15,575,28
horridus,-102.093,18.011,273,124,73,1193,347,179,168,284,259,285,256,1070,276,1,108,668,14,583,27
horridus,-102.09,17.983,273,122,74,1166,345,181,164,284,259,285,257,1063,277,1,108,664,15,575,28
horridus,-102.082,18.024,272,126,74,1167,348,178,170,283,259,285,256,1047,274,1,109,651,13,567,27
horridus,-102.08,19.32,198,152,68,1523,308,87,221,203,197,217,176,1377,316,4,108,891,17,278,41
horridus,-102.067,19.367,187,152,67,1623,297,73,224,195,185,206,164,1496,332,5,106,957,23,304,49
horridus,-102.06,19.25,251,155,68,1583,366,141,225,251,253,274,230,918,236,2,113,626,7,174,22
horridus,-102.05,19.22,251,155,68,1583,366,141,225,251,253,274,230,918,236,2,113,626,7,174,22
horridus,-101.914,19.157,270,159,68,1686,387,154,233,272,271,293,247,839,218,1,112,565,7,163,18
horridus,-101.9,18.305,278,144,70,1341,376,172,204,286,270,293,258,686,161,2,100,405,11,265,43
horridus,-101.87,19.164,242,157,70,1485,356,132,224,243,244,263,222,973,244,2,111,651,8,192,25
horridus,-101.653,19.15,161,144,68,1536,270,59,211,166,160,180,139,1240,269,5,103,782,21,268,42
horridus,-101.60944,19.51583,158,154,66,2041,277,44,233,168,155,183,130,1041,238,7,104,663,26,228,44
horridus,-101.55,17.64,272,122,80,722,342,191,151,278,264,280,262,1016,273,1,109,609,4,378,18
horridus,-101.45667,19.147692,238,160,68,1639,359,125,234,237,243,261,218,1062,272,3,113,713,13,222,27
horridus,-100.98,18.48,291,150,65,1777,408,178,230,288,296,316,270,838,219,1,116,571,6,176,18
horridus,-100.68,19.79,126,142,68,1640,226,20,206,136,108,143,101,1403,313,12,98,863,60,327,62
horridus,-100.668,18.36,287,144,63,1916,402,175,227,283,293,315,264,981,246,2,115,659,7,220,20
horridus,-100.433,18.783,269,154,62,2136,395,150,245,266,277,301,245,1075,259,2,111,700,10,240,21
horridus,-100.39,19.42,181,145,67,1590,290,75,215,190,182,201,159,915,191,6,94,542,28,246,45
horridus,-100.383,19.417,181,145,67,1590,290,75,215,190,182,201,159,915,191,6,94,542,28,246,45
horridus,-100.383,19.4,186,146,68,1505,294,81,213,193,188,205,165,922,194,5,96,550,24,252,44
horridus,-100.117,17,285,110,80,732,349,213,136,290,279,293,275,1002,268,0,113,637,5,407,15
horridus,-100.094,17.699,200,118,66,1336,295,118,177,197,206,218,184,1266,292,5,106,792,19,297,43
horridus,-99.933,18.133,239,141,67,1640,351,141,210,235,234,262,220,997,230,2,110,640,15,55,22
horridus,-99.917,18.033,247,141,67,1628,357,147,210,244,241,270,228,1001,232,2,108,640,15,248,29
horridus,-99.89,16.86,281,107,81,729,342,211,131,287,274,289,271,1197,293,1,111,767,6,470,19
horridus,-99.867,18.367,215,129,66,1496,320,127,193,209,211,237,199,1157,239,3,105,711,14,86,30
horridus,-99.824,18.326,219,131,66,1545,326,130,196,214,215,242,202,1097,226,3,106,674,14,83,27
horridus,-99.8,18.5,213,130,66,1542,320,124,196,208,209,236,196,1194,247,3,105,729,17,94,33
horridus,-99.783,18.517,186,128,65,1453,288,92,196,185,178,205,167,1197,246,7,99,696,29,346,49
horridus,-99.783,18.5,200,126,64,1482,303,109,194,197,193,220,182,1165,239,5,101,691,22,102,39
horridus,-99.783,18.4,224,136,66,1611,335,130,205,220,220,248,206,1113,230,3,107,685,16,84,28
horridus,-99.78,18.71,197,134,65,1544,305,99,206,202,179,218,178,1243,253,6,100,739,31,363,46
horridus,-99.767,18.5,200,126,64,1482,303,109,194,197,193,220,182,1165,239,5,101,691,22,102,39
horridus,-99.733,18.533,171,130,66,1436,271,75,196,173,162,190,152,1194,250,7,97,684,34,348,55
horridus,-99.72,18.49,191,127,65,1456,293,100,193,190,184,211,173,1163,240,6,101,680,26,107,43
horridus,-99.702,17.66,224,135,68,1395,324,128,196,224,215,243,206,856,186,2,102,530,17,209,35
horridus,-99.69,17.56,175,105,70,829,253,104,149,174,179,186,164,1584,363,7,101,949,33,99,41
horridus,-99.68,18.82,200,137,65,1575,308,99,209,204,180,221,180,1192,241,6,99,707,31,352,43
horridus,-99.666,17.985,260,148,67,1703,371,151,220,259,252,284,239,869,184,1,103,530,14,237,26
horridus,-99.661,18.24,263,154,65,1897,381,146,235,261,255,289,239,969,208,1,107,605,14,260,25
horridus,-99.66,18.48,226,138,66,1663,337,129,208,227,221,250,206,1204,250,4,105,739,20,101,32
horridus,-99.65,18.667,209,134,65,1580,318,113,205,211,191,231,190,1197,251,5,102,721,26,112,37
horridus,-99.65,18.64,209,132,65,1584,317,114,203,211,191,231,190,1202,253,6,102,722,26,112,38
horridus,-99.63,18.64,209,132,65,1584,317,114,203,211,191,231,190,1202,253,6,102,722,26,112,38
horridus,-99.6,18.567,203,129,64,1517,309,110,199,205,186,224,185,1167,248,5,101,694,25,112,36
horridus,-99.6,17.3,252,138,74,1072,345,159,186,252,255,267,239,1492,346,3,110,957,18,342,48
horridus,-99.59,18.79,211,137,65,1591,321,113,208,213,193,233,192,1165,241,6,101,705,27,104,39
horridus,-99.59,17.94,267,149,66,1730,378,155,223,266,258,291,246,788,169,1,103,476,13,216,24
horridus,-99.59,17.91,261,147,67,1652,370,153,217,261,253,284,240,820,174,1,102,495,14,223,27
horridus,-99.586945,17.938334,267,149,66,1730,378,155,223,266,258,291,246,788,169,1,103,476,13,216,24
horridus,-99.583336,17.933332,267,149,66,1730,378,155,223,266,258,291,246,788,169,1,103,476,13,216,24
horridus,-99.58333,17.88333,257,148,67,1637,366,148,218,257,249,280,236,794,166,2,101,476,15,219,27
horridus,-99.58,18.34,258,159,65,1921,379,137,242,256,250,283,233,1013,216,2,108,637,13,273,24
horridus,-99.57,17.62,213,134,69,1278,311,118,193,213,205,230,197,987,210,3,102,605,19,252,19
horridus,-99.567,17.6,213,134,69,1278,311,118,193,213,205,230,197,987,210,3,102,605,19,252,19
horridus,-99.563,17.824,251,145,69,1556,356,146,210,251,242,272,230,793,165,2,99,476,16,213,31
horridus,-99.55,17.633,225,140,70,1390,326,126,200,226,216,244,207,776,165,2,102,473,14,203,29
horridus,-99.549,17.551,211,135,68,1284,310,114,196,211,202,228,194,1059,224,3,103,657,20,263,21
horridus,-99.54,18,254,149,66,1723,366,143,223,254,246,278,232,832,173,2,102,499,15,236,25
horridus,-99.53333,17.133333,275,141,76,920,368,183,185,274,277,288,264,1342,330,1,110,837,6,304,51
horridus,-99.533,17.7,237,142,69,1517,337,134,203,239,227,256,216,700,150,3,99,427,15,176,35
horridus,-99.53,17.65,235,142,70,1507,334,133,201,238,224,254,215,682,149,3,100,421,15,164,37
horridus,-99.519,17.7,237,142,69,1517,337,134,203,239,227,256,216,700,150,3,99,427,15,176,35
horridus,-99.504,18.379,252,160,66,1884,374,133,241,258,244,277,228,1091,230,3,108,685,15,308,25
horridus,-99.50333,17.555,222,139,69,1327,321,122,199,223,212,239,204,860,186,3,103,531,16,219,17
horridus,-99.503,18.601,227,143,66,1704,341,126,215,230,210,252,207,1129,248,4,105,699,21,97,31
horridus,-99.50083,17.55139,222,139,69,1327,321,122,199,223,212,239,204,860,186,3,103,531,16,219,17
horridus,-99.5,18.95,193,146,67,1557,302,85,217,200,173,213,173,986,204,5,99,598,29,283,29
horridus,-99.5,17.55,215,140,69,1313,316,115,201,216,206,232,197,989,213,3,102,612,19,249,21
horridus,-99.47,17.458,219,138,70,1219,316,121,195,220,221,235,202,1086,244,3,106,690,20,260,23
horridus,-99.467,17.367,234,138,72,1174,327,137,190,235,236,249,218,1277,286,2,109,829,16,289,22
horridus,-99.458,18.616,247,175,69,1897,372,121,251,255,237,271,221,1091,232,4,106,679,19,313,29
horridus,-99.45,18.75,238,162,68,1851,358,122,236,245,229,262,214,947,211,4,106,585,19,284,28
horridus,-99.425,18.649,243,170,69,1872,366,121,245,251,220,267,218,1047,226,4,105,651,19,306,28
horridus,-99.409,17.552,222,145,70,1380,325,118,207,224,212,240,204,877,197,2,103,547,16,225,19
horridus,-99.408,18.743,242,171,69,1947,365,119,246,251,232,267,215,900,197,3,104,547,18,266,25
horridus,-99.398,17.566,222,145,70,1380,325,118,207,224,212,240,204,877,197,2,103,547,16,225,19
horridus,-99.39,18.33,254,161,66,1890,375,134,241,259,245,278,229,1073,224,3,107,671,14,307,23
horridus,-99.39,17.58,222,145,70,1380,325,118,207,224,212,240,204,877,197,2,103,547,16,225,19
horridus,-99.375,17.651,222,147,69,1439,328,116,212,224,212,241,203,868,189,3,101,530,17,232,19
horridus,-99.369,17.471,232,143,71,1329,330,129,201,234,222,249,214,1029,230,3,107,662,18,241,21
horridus,-99.359,18.768,240,169,68,1949,363,118,245,249,230,266,214,870,190,2,104,526,17,259,25
horridus,-99.35,18.717,243,174,69,1982,367,118,249,253,232,268,216,874,191,1,105,531,14,258,23
horridus,-99.35,17.6,219,148,69,1418,325,112,213,220,209,237,199,946,205,3,102,580,19,247,22
horridus,-99.341,19.954,162,169,70,1929,276,36,240,178,135,182,134,661,140,6,84,363,25,206,34
horridus,-99.326,18.729,242,170,69,1936,365,119,246,250,231,266,215,897,196,2,105,546,16,268,25
horridus,-99.322,18.778,238,163,69,1884,358,122,236,245,228,262,213,912,198,3,102,552,19,272,29
horridus,-99.319,18.617,250,177,69,2022,376,120,256,260,238,275,221,964,204,2,107,599,13,275,22
horridus,-99.319,18.597,250,177,69,2022,376,120,256,260,238,275,221,964,204,2,107,599,13,275,22
horridus,-99.311,18.478,221,147,67,1628,334,117,217,225,202,243,201,1057,232,3,104,646,18,97,28
horridus,-99.3,18.8,229,152,68,1710,344,122,222,234,221,252,207,948,208,4,102,576,22,78,34
horridus,-99.298,18.789,238,163,69,1884,358,122,236,245,228,262,213,912,198,3,102,552,19,272,29
horridus,-99.29,18.68,243,173,69,1990,368,119,249,253,233,269,216,901,198,1,104,551,14,271,24
horridus,-99.29,18.62,249,177,69,2030,375,120,255,259,238,275,221,938,202,2,105,578,14,274,23
horridus,-99.28917,18.774166,237,161,68,1839,356,122,234,243,227,261,212,903,197,3,102,544,19,272,30
horridus,-99.287,18.462,242,159,67,1823,363,128,235,247,235,266,218,997,219,3,105,617,14,88,23
horridus,-99.286,18.467,242,159,67,1823,363,128,235,247,235,266,218,997,219,3,105,617,14,88,23
horridus,-99.283,18.469,242,159,67,1823,363,128,235,247,235,266,218,997,219,3,105,617,14,88,23
horridus,-99.28,18.6,249,177,69,2030,375,120,255,259,238,275,221,938,202,2,105,578,14,274,23
horridus,-99.28,18.3,239,153,67,1777,357,129,228,243,232,263,216,1038,228,3,106,646,15,91,23
horridus,-99.268,18.452,218,141,67,1557,328,119,209,221,201,240,199,1009,226,3,103,618,17,95,26
horridus,-99.266,18.779,237,161,68,1839,356,122,234,243,227,261,212,903,197,3,102,544,19,272,30
horridus,-99.259,18.591,249,177,69,2030,375,120,255,259,238,275,221,938,202,2,105,578,14,274,23
horridus,-99.258,18.773,237,161,68,1839,356,122,234,243,227,261,212,903,197,3,102,544,19,272,30
horridus,-99.25,18.984,185,155,71,1465,292,74,218,193,165,203,165,954,199,5,101,583,23,270,23
horridus,-99.25,18.96,185,155,71,1465,292,74,218,193,165,203,165,954,199,5,101,583,23,270,23
horridus,-99.24,18.8,234,159,68,1807,352,121,231,241,243,258,210,905,195,4,101,538,20,269,34
horridus,-99.24,18.67,243,173,68,2017,368,117,251,253,232,269,215,855,188,1,104,523,14,259,22
horridus,-99.24,18.653,246,174,68,2061,371,117,254,256,234,272,217,873,191,1,105,537,13,262,22
horridus,-99.239,18.766,238,165,69,1895,359,120,239,246,247,263,213,874,190,2,103,526,17,264,28
horridus,-99.235,18.825834,234,159,68,1807,352,121,231,241,243,258,210,905,195,4,101,538,20,269,34
horridus,-99.23,18.715,240,167,68,1918,363,120,243,249,249,265,214,868,190,2,103,526,16,263,26
horridus,-99.227,18.854,228,154,69,1678,342,120,222,233,220,250,206,938,204,4,101,559,21,277,36
horridus,-99.21667,17.416666,238,141,71,1239,334,137,197,239,228,255,222,1267,272,3,107,812,18,294,22
horridus,-99.21,19.72,154,168,68,2028,268,24,244,171,125,175,125,674,137,5,87,377,19,206,27
horridus,-99.201,18.986,191,154,72,1400,297,84,213,198,173,209,173,965,203,5,102,592,21,273,21
horridus,-99.201,18.782,237,163,69,1846,357,121,236,244,246,261,212,878,190,3,101,525,18,263,31
horridus,-99.198,18.987,191,154,72,1400,297,84,213,198,173,209,173,965,203,5,102,592,21,273,21
horridus,-99.193,19.136,114,149,70,1472,214,4,210,124,93,131,93,1285,267,9,96,762,38,365,38
horridus,-99.184,18.968,191,154,72,1400,297,84,213,198,173,209,173,965,203,5,102,592,21,273,21
horridus,-99.176,18.882,221,152,71,1549,331,117,214,225,213,241,201,972,213,4,103,590,20,285,32
horridus,-99.167,18.917,210,148,71,1453,317,110,207,215,203,230,193,1038,221,4,105,639,18,296,29
horridus,-99.167,18.833,233,159,69,1766,351,121,230,239,242,257,210,905,195,4,101,536,20,269,35
horridus,-99.166,18.805,221,152,71,1508,331,118,213,225,214,241,202,954,211,4,104,584,18,285,29
horridus,-99.166,17.409,245,142,71,1228,342,143,199,246,236,262,229,1267,272,3,106,803,16,296,20
horridus,-99.15722,18.971111,198,154,73,1378,303,93,210,203,189,216,180,981,206,5,104,603,18,277,26
horridus,-99.15,18.8833,220,154,71,1513,331,116,215,225,213,241,201,964,211,4,104,584,18,283,30
horridus,-99.144,18.918,213,152,72,1427,321,111,210,218,206,232,195,1001,215,4,105,613,17,288,28
horridus,-99.137,17.438,235,144,70,1314,334,130,204,236,225,252,218,1190,255,5,103,746,22,289,44
horridus,-99.126,18.965,198,154,73,1378,303,93,210,203,189,216,180,981,206,5,104,603,18,277,26
horridus,-99.124,17.894,258,160,66,1909,375,135,240,268,234,283,233,791,166,2,103,480,14,230,21
horridus,-99.114,18.754,239,170,69,1974,362,116,246,249,247,264,212,864,184,3,101,514,18,258,30
horridus,-99.109,18.449,252,172,67,2040,379,124,255,260,226,278,224,859,198,2,109,537,12,266,15
horridus,-99.109,18.429,252,172,67,2040,379,124,255,260,226,278,224,859,198,2,109,537,12,266,15
horridus,-99.108,18.895,221,157,72,1512,332,115,217,226,212,241,201,956,207,4,104,576,18,280,29
horridus,-99.108,18.453,252,172,67,2040,379,124,255,260,226,278,224,859,198,2,109,537,12,266,15
horridus,-99.106,18.457,252,172,67,2040,379,124,255,260,226,278,224,859,198,2,109,537,12,266,15
